Fecha,Producto,Variedad,Min,Max,Prom
17/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,1.70,1.90,1.83
17/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.70,2.20,2.03
17/06/2024,PAPA,PAPA AMARILLA,2.60,2.80,2.73
17/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.00,1.20,1.08
17/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.35,1.48,1.41
17/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.80,1.69
17/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.80,1.70
17/06/2024,PAPA,PAPA NEGRA ANDINA,1.00,1.20,1.10
17/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.50,1.70,1.60
17/06/2024,PAPA,PAPA YUNGAY,1.00,1.20,1.08
17/06/2024,PAPA,PAPA UNICA,1.60,1.80,1.71
17/06/2024,PAPA,PAPA CANCHAN,1.00,1.20,1.14
17/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
17/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
17/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
18/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,1.70,1.90,1.78
18/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.70,2.20,2.03
18/06/2024,PAPA,PAPA AMARILLA,2.60,2.80,2.73
18/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.00,1.20,1.08
18/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.40,1.50,1.43
18/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.80,1.70
18/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.80,1.69
18/06/2024,PAPA,PAPA NEGRA ANDINA,1.00,1.20,1.10
18/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.50,1.70,1.60
18/06/2024,PAPA,PAPA YUNGAY,1.00,1.20,1.10
18/06/2024,PAPA,PAPA UNICA,1.60,1.80,1.73
18/06/2024,PAPA,PAPA CANCHAN,1.00,1.20,1.14
18/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
18/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
18/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
19/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,1.70,2.00,1.85
19/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.70,2.30,2.10
19/06/2024,PAPA,PAPA AMARILLA,2.60,3.00,2.88
19/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.00,1.20,1.08
19/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.40,1.50,1.45
19/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.70,1.66
19/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.70,1.64
19/06/2024,PAPA,PAPA NEGRA ANDINA,1.00,1.20,1.13
19/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.55,1.80,1.66
19/06/2024,PAPA,PAPA YUNGAY,1.00,1.20,1.10
19/06/2024,PAPA,PAPA UNICA,1.60,1.80,1.73
19/06/2024,PAPA,PAPA CANCHAN,1.00,1.20,1.14
19/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
19/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
19/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
20/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,1.80,2.10,1.95
20/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.70,2.30,2.10
20/06/2024,PAPA,PAPA AMARILLA,3.00,3.20,3.08
20/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.00,1.20,1.08
20/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.40,1.50,1.45
20/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.70,1.66
20/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.70,1.64
20/06/2024,PAPA,PAPA NEGRA ANDINA,1.10,1.20,1.15
20/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.50,1.70,1.60
20/06/2024,PAPA,PAPA YUNGAY,1.00,1.20,1.08
20/06/2024,PAPA,PAPA UNICA,1.60,1.80,1.73
20/06/2024,PAPA,PAPA CANCHAN,1.10,1.20,1.15
20/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
20/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
20/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
21/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,2.00,2.30,2.13
21/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,2.10,2.30,2.20
21/06/2024,PAPA,PAPA AMARILLA,3.00,3.20,3.08
21/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.10,1.20,1.14
